emp_no,last_name,gender,first_name,salary,to_date
11051,Erol,F,Przemyslawa,40000,9999-01-01
11146,Masand,F,Ishfaq,96019,9999-01-01
11148,Botman,F,Zhanqiu,56344,9999-01-01
11162,Narlikar,F,Kauko,69873,9999-01-01
11180,Bojadziev,F,Mitsuyuki,40000,9999-01-01
11070,Raney,M,Adib,40000,9999-01-01
11197,Fordan,M,Tadahiro,88741,9999-01-01
11081,Boyle,M,Barry,65686,9999-01-01
11085,Thummel,M,Hailing,66437,9999-01-01
11204,Covnot,M,Diederik,40000,9999-01-01
11207,Gips,F,Saeed,49728,9999-01-01
11100,Cochrane,M,Berna,40000,9999-01-01
11208,Valtorta,F,Saniya,83660,9999-01-01
11211,Rissland,M,Yurij,72668,9999-01-01
11106,Iwayama,F,Aris,71446,9999-01-01
11217,Mawatari,M,Kellie,40000,9999-01-01
11232,Crelier,M,Hidefumi,43863,9999-01-01
11240,Condotta,M,Kiam,61739,9999-01-01
11249,Cyre,M,Randi,43324,9999-01-01
11251,Chinal,M,Bezalel,69432,9999-01-01
11268,Petersohn,F,Aimee,40000,9999-01-01
11319,Marrakchi,F,Pranas,40000,9999-01-01
11320,McAlpine,M,Atilio,45118,9999-01-01
11322,Pocchiola,F,Nathalie,43021,9999-01-01
11324,Billingsley,F,Kauko,54288,9999-01-01
11338,Hanratty,M,Kwangsub,82210,9999-01-01
11339,Massonet,M,Flemming,40000,9999-01-01
11347,Jonsson,M,Anneli,41524,9999-01-01
11365,Shinomoto,M,Toshimi,56463,9999-01-01
11376,Suomi,M,Valery,46964,9999-01-01
11380,Pelc,M,Kenroku,53345,9999-01-01
11385,Ullian,M,Shiv,40000,9999-01-01
11386,Assaf,F,Alselm,47726,9999-01-01
11393,Junot,M,Junsik,40000,9999-01-01
11398,Peir,M,Oscar,44625,9999-01-01
11404,Borovoy,M,Bedrich,42907,9999-01-01
11415,Anido,M,Sanjiv,40000,9999-01-01
11421,Msuda,F,Josyula,52416,9999-01-01
11275,Eppinger,F,Hitomi,58382,9999-01-01
11441,Aingworth,M,Marlo,67352,9999-01-01
11290,Dredge,M,Visit,65034,9999-01-01
11449,Asser,M,Kotesh,61434,9999-01-01
11295,Lanzelotte,M,Abdelkader,66622,9999-01-01
11459,Suomi,M,Duke,40000,9999-01-01
11506,Picel,F,Rance,89747,9999-01-01
11469,Giaccio,M,Guttorm,44625,9999-01-01
11509,Feldhoffer,M,Aleksander,40000,9999-01-01
11673,Felder,F,Henk,40000,9999-01-01
11513,Mahnke,M,Otmar,82525,9999-01-01
11515,Basawa,F,Ulf,70182,9999-01-01
11676,Ferriere,F,Valeri,43310,9999-01-01
11518,Oxman,M,Jinxi,40000,9999-01-01
11681,Benzmuller,F,Fumitake,40000,9999-01-01
11684,Gide,F,Oksana,68753,9999-01-01
11524,Standera,M,Xiadong,41081,9999-01-01
11527,Boyle,M,Alagu,60212,9999-01-01
11528,Dolinsky,M,Zito,44026,9999-01-01
11696,Rothe,M,Dante,51633,9999-01-01
11537,Pehl,M,DAIDA,96023,9999-01-01
11554,Taubenfeld,M,Subhash,46065,9999-01-01
11555,Perfilyeva,M,Kotesh,40000,9999-01-01
11567,Mitzlaff,M,Teiji,86261,9999-01-01
11732,Ranft,F,Sanjoy,40000,9999-01-01
11568,Fujisaki,M,Martins,54673,9999-01-01
11735,Picci,M,Amalendu,40000,9999-01-01
11603,Swen,F,Herb,69180,9999-01-01
11746,Marrakchi,F,Koichi,55951,9999-01-01
11751,Emiris,M,Jiafu,40000,9999-01-01
11764,Anick,F,Sanjay,64875,9999-01-01
11769,Lampe,M,Chandrasekaran,40000,9999-01-01
11772,Penz,F,Gaurav,61295,9999-01-01
11607,Foong,F,Tomokazu,49584,9999-01-01
11615,Isaak,F,Shem,46591,9999-01-01
11797,Thambidurai,M,Chenxi,88050,9999-01-01
11624,Gammage,M,Adil,42001,9999-01-01
11810,Bhattacharjee,M,Amabile,41256,9999-01-01
11628,Malinowski,M,Fan,43966,9999-01-01
11817,Markovitch,M,Niranjan,50638,9999-01-01
11640,Coorg,M,Valeri,52520,9999-01-01
11647,Nitsche,M,Magy,40000,9999-01-01
11832,Zlotek,M,Arto,40000,9999-01-01
11660,Stenning,F,Gill,65758,9999-01-01
11844,Demeyer,M,Shawna,78049,9999-01-01
12036,Ratzlaff,M,Mads,67143,9999-01-01
12037,Katzenelson,M,Arunas,47805,9999-01-01
12050,Tchuente,F,Yuchang,46704,9999-01-01
11853,Kusakabe,F,Zeljko,61941,9999-01-01
11857,Farrag,F,Divier,94805,9999-01-01
11864,Kriebel,F,Pradeep,52517,9999-01-01
11871,Sommen,M,Nalini,67424,9999-01-01
12062,Worfolk,M,Margareta,44199,9999-01-01
11872,Riexinger,M,Cheong,43159,9999-01-01
12069,Burnard,M,Ayonca,51928,9999-01-01
12070,Shokrollahi,M,Ger,50233,9999-01-01
11894,Validov,M,Mitchel,56198,9999-01-01
11897,Setlzner,M,Cordelia,80049,9999-01-01
12076,Siprelle,F,Karlis,75381,9999-01-01
11906,Boguraev,F,Hideo,81324,9999-01-01
12082,Yamaashi,M,Xinan,72118,9999-01-01
12089,Socorro,M,Bilhanan,46288,9999-01-01
11915,Mawatari,M,Miomir,58042,9999-01-01
12099,Kuzuoka,M,Nobuyoshi,104610,9999-01-01
11931,Chiodo,F,Gunilla,73369,9999-01-01
11933,Erman,M,Basil,56130,9999-01-01
12112,Avouris,M,Satyanarayana,76538,9999-01-01
11949,Harbusch,M,Martijn,40000,9999-01-01
12122,Krone,F,Satoru,46398,9999-01-01
12123,Syrzycki,F,Xiahua,64879,9999-01-01
12125,Erman,F,Shounak,41215,9999-01-01
12149,Grandbois,M,Suebskul,109934,9999-01-01
11983,Hedayat,M,Jaana,40000,9999-01-01
12159,Perly,M,Shem,61210,9999-01-01
12165,Maquelin,F,Xiaobin,41951,9999-01-01
12183,Iisaku,M,Harngdar,40000,9999-01-01
11993,Dalphin,M,Marit,56505,9999-01-01
12192,Klyachko,F,Feiyu,41625,9999-01-01
12011,Coorg,F,Zhilian,85833,9999-01-01
12205,Rossi,M,Sushant,40000,9999-01-01
12206,Janetzko,F,Barton,40000,9999-01-01
12218,Strooper,M,Yaghout,40000,9999-01-01
12411,Ibel,M,Shao,97610,9999-01-01
12221,Melter,M,Vincent,56736,9999-01-01
12222,Holburn,F,Abdelwaheb,55840,9999-01-01
12223,Koyama,F,Niteen,54459,9999-01-01
12413,Gadepally,F,Hugh,53179,9999-01-01
12417,Spelt,F,Dannz,67342,9999-01-01
12422,Demos,F,Berhard,71376,9999-01-01
12454,Farris,F,Kerryn,41347,9999-01-01
12247,Penttonen,F,Subbu,59183,9999-01-01
12249,Sadowski,M,Eldridge,70099,9999-01-01
12256,Reghbati,F,Guadalupe,40000,9999-01-01
12264,Pagter,M,Mart,51816,9999-01-01
12270,Kornyak,M,Shakhar,52840,9999-01-01
12272,Grandbois,F,Behnaam,43811,9999-01-01
12464,Milicic,F,Shai,50448,9999-01-01
12475,Roison,M,Filipe,40000,9999-01-01
12487,Reghbati,F,Mona,40000,9999-01-01
12308,Cronau,M,Mototsugu,58741,9999-01-01
12311,Lubachevsky,M,Susanne,40000,9999-01-01
12489,Munck,F,Arnould,63306,9999-01-01
12490,Muchinsky,F,Jackson,40000,9999-01-01
12327,Bruckman,M,DAIDA,67449,9999-01-01
12497,Penz,M,Stein,81191,9999-01-01
12501,Matheson,F,Morrie,76082,9999-01-01
12341,Luga,M,Rasiah,40000,9999-01-01
12343,Slaats,M,Sorina,52134,9999-01-01
12504,Rosaz,F,Adly,40000,9999-01-01
12514,Melter,M,Tomofumi,54241,9999-01-01
12365,Bisiani,M,Kamakshi,40000,9999-01-01
12528,Cincotta,F,Conor,40000,9999-01-01
12373,Driscoll,F,Mooi,75986,9999-01-01
12534,Gerlach,M,Yongmao,66715,9999-01-01
12541,Nanard,M,Shih,93105,9999-01-01
12395,Felder,M,Sanjit,66909,9999-01-01
12399,Luga,M,Mihalis,85582,9999-01-01
12596,Roisin,M,Breannda,40000,9999-01-01
12601,Simkin,M,Ghassan,41714,9999-01-01
12608,Mondadori,M,Nectarios,40000,9999-01-01
12542,Bouloucos,F,Kazuhide,44176,9999-01-01
12551,Tzvieli,M,Jeane,40000,9999-01-01
12635,Restivo,F,Xinyu,40000,9999-01-01
12553,Vesna,M,Aral,40000,9999-01-01
12638,Seiwald,F,Yuqun,56677,9999-01-01
12642,Gips,F,Suebskul,68271,9999-01-01
12557,Kopetz,M,Stafford,41840,9999-01-01
12651,Bael,M,Pragnesh,75150,9999-01-01
12589,Chleq,M,Anoosh,59441,9999-01-01
12662,Alvarado,M,Leucio,69016,9999-01-01
12663,Stellhorn,M,Nobuyoshi,49966,9999-01-01
12664,Parveen,M,Zhonghua,40000,9999-01-01
12790,Perl,F,Gunilla,87760,9999-01-01
12689,Boudaillier,M,Luerbio,59689,9999-01-01
12691,Gils,M,Oddvar,48493,9999-01-01
12697,Brizzi,M,Uri,40000,9999-01-01
12795,Fordan,M,Masoud,56969,9999-01-01
12709,Botman,M,Ronghao,45510,9999-01-01
12798,Beeson,F,Lillian,81145,9999-01-01
12717,Jiafu,F,Tzu,53194,9999-01-01
12803,Boissier,M,Gad,91789,9999-01-01
12815,Junot,M,Sushant,65073,9999-01-01
12722,Cheshire,F,Elliott,62325,9999-01-01
12726,Panwar,M,Fumitake,61177,9999-01-01
12729,Rahier,F,Nahla,51796,9999-01-01
12731,Waymire,F,Yongmao,40000,9999-01-01
12732,Takanami,M,Mara,74436,9999-01-01
12819,Gubsky,M,Mountaz,48455,9999-01-01
12734,Frijda,M,Gil,40000,9999-01-01
12848,Smeets,M,Kazuhide,40000,9999-01-01
12755,Rodite,F,Rildo,40196,9999-01-01
12863,Matheson,M,Leif,62803,9999-01-01
12872,Schmittgen,F,Marl,56040,9999-01-01
12879,Eugenio,M,Baruch,40000,9999-01-01
12773,Lovengreen,M,Jenwei,65556,9999-01-01
12890,Casley,F,Neven,66803,9999-01-01
12893,Crouzet,M,Licheng,50803,9999-01-01
12895,Serot,M,Roddy,40000,9999-01-01
12905,Gecsei,M,Munehiro,58659,9999-01-01
12926,Luby,M,Heekeun,68314,9999-01-01
12977,Markovitch,M,Byong,61326,9999-01-01
12983,Hambrick,F,Elliott,57252,9999-01-01
12940,Farrar,F,Odinaldo,49760,9999-01-01
12941,Perelgut,F,Tommaso,67069,9999-01-01
12949,Asrin,F,Geoff,40000,9999-01-01
13146,Erie,M,Haldon,61398,9999-01-01
13147,Ginesta,M,Shichao,77429,9999-01-01
13156,Millington,M,Akeel,48285,9999-01-01
13030,Kroll,M,Yahiko,51770,9999-01-01
13165,Benner,F,Lucian,42796,9999-01-01
13168,Stentiford,F,Munir,49210,9999-01-01
13170,Bernardeschi,M,Cheong,49012,9999-01-01
13171,Birnbaum,M,Anoosh,40000,9999-01-01
13046,Stafford,M,Vivian,40000,9999-01-01
13173,Horswill,M,Arve,46354,9999-01-01
13047,Chelton,M,Atilio,52323,9999-01-01
13179,Janocha,M,Moty,90233,9999-01-01
13182,Rodite,M,Kokou,46832,9999-01-01
13186,Barbanera,M,Kyoichi,93138,9999-01-01
13192,Flowers,M,Rosita,43986,9999-01-01
13202,Scharstein,F,Aram,51915,9999-01-01
13210,Klassen,M,Jianhua,83961,9999-01-01
13075,Morrin,M,Rosella,40000,9999-01-01
13076,Skafidas,F,Deniz,50582,9999-01-01
13213,Billawala,M,Hein,61131,9999-01-01
13232,Fujisaki,F,Mitchel,40000,9999-01-01
13096,Armand,M,Ibibia,52544,9999-01-01
13233,Chvatal,M,Alselm,49414,9999-01-01
13238,Foote,F,Ebru,40000,9999-01-01
13103,Ellozy,F,Srinidhi,40000,9999-01-01
13240,Pileggi,M,King,49018,9999-01-01
13250,Schusler,M,Zeydy,47829,9999-01-01
13272,Jiang,F,Arun,40000,9999-01-01
13124,Garnick,F,Quingbo,73785,9999-01-01
13133,Senzako,M,Guther,67777,9999-01-01
13134,Chepyzhov,M,Lorien,51227,9999-01-01
13276,Seuren,M,Yechiam,65836,9999-01-01
13288,Broomell,F,Muneo,40000,9999-01-01
13144,Nollmann,M,Persi,52825,9999-01-01
13291,Stamatiou,M,Georg,54720,9999-01-01
13302,Alencar,F,Mack,40000,9999-01-01
13315,Stroustrup,F,Sakthirel,40000,9999-01-01
13332,Pearson,F,Nidapan,40000,9999-01-01
13524,Porotnikoff,F,Chaoyi,52849,9999-01-01
13333,Hennebert,M,Yoshinari,50997,9999-01-01
13341,Doering,F,Bodh,40000,9999-01-01
13343,Usery,M,Heon,40000,9999-01-01
13535,Schlenzig,F,Arunas,40000,9999-01-01
13368,Klassen,M,Kiyokazu,52872,9999-01-01
13546,Brookner,F,Aimee,50295,9999-01-01
13371,Riexinger,F,Nakhoon,40000,9999-01-01
13373,Naumovich,M,Juichirou,82749,9999-01-01
13549,Koprowski,M,Matk,40000,9999-01-01
13385,Buchter,M,Claudi,40000,9999-01-01
13552,Capobianchi,M,Ingmar,73346,9999-01-01
13576,Engberts,F,Jungsoon,73022,9999-01-01
13386,Sgarro,F,Khosrow,91420,9999-01-01
13389,Cmelik,F,Divine,40000,9999-01-01
13392,Beidas,F,Fumitake,69221,9999-01-01
13396,Aumann,F,Chuanyi,40000,9999-01-01
13605,Encarnacion,F,Dmitry,70404,9999-01-01
13402,Dulli,M,Augustine,40000,9999-01-01
13405,Baba,F,Randy,60799,9999-01-01
13407,Chenoweth,M,Gio,60348,9999-01-01
13408,Lagarias,M,Sreekrishna,52479,9999-01-01
13415,Speer,F,Nathalie,61838,9999-01-01
13621,Haddadi,M,Fei,73192,9999-01-01
13422,Gerlach,F,Vishwani,59466,9999-01-01
13624,Yurek,M,Zhigen,40000,9999-01-01
13629,Trelles,M,Dzung,40000,9999-01-01
13442,Miake,M,Giordano,40000,9999-01-01
13648,Lamba,F,Zejun,47723,9999-01-01
13443,Puppo,M,Mayuko,40000,9999-01-01
13445,Dehkordi,M,Renee,53194,9999-01-01
13451,Weiland,M,Gretta,40000,9999-01-01
13653,Iivonen,M,Kristen,53242,9999-01-01
13670,Takanami,F,Moti,40000,9999-01-01
13457,Parfitt,M,Shooichi,40812,9999-01-01
13458,Nivat,F,Feipei,41375,9999-01-01
13463,Berstel,F,Theron,40000,9999-01-01
13465,Rehfuss,M,Sasan,49821,9999-01-01
13680,Speer,M,Denny,46968,9999-01-01
13685,Hockney,F,Weicheng,48322,9999-01-01
13697,Weedon,M,Shuichi,40000,9999-01-01
13493,Jullig,F,Uinam,40000,9999-01-01
13704,Kumaresan,F,Vishu,40000,9999-01-01
13504,Mandell,F,Parto,41895,9999-01-01
13721,Delgrossi,F,Sugwoo,64754,9999-01-01
13727,Merey,M,Vitali,50798,9999-01-01
13738,Mitchem,F,Bangqing,48349,9999-01-01
13766,Heemskerk,M,Tremaine,43748,9999-01-01
13894,Schonegge,F,Ult,48958,9999-01-01
13904,Cairo,M,Youngkon,73885,9999-01-01
13934,Bratsberg,F,Shiv,46507,9999-01-01
13942,Esteva,M,Elzbieta,40000,9999-01-01
13951,Genther,F,Mooi,82054,9999-01-01
13960,Hettesheimer,M,Nechama,43204,9999-01-01
13962,Ghelli,M,Maris,67965,9999-01-01
13966,Cooman,F,Boguslaw,40000,9999-01-01
13969,Chandrasekhar,F,Jianwen,60392,9999-01-01
13990,Schapiro,F,Deborah,52723,9999-01-01
13992,Kenevan,M,Ulises,81318,9999-01-01
13999,Crouzet,M,Florian,40000,9999-01-01
14005,Stellhorn,M,Vojin,40000,9999-01-01
14015,Picaronny,M,Manibrata,63084,9999-01-01
14034,Seghrouchni,M,Aloys,69700,9999-01-01
14041,DeMori,F,Shan,63235,9999-01-01
14067,Trachtenberg,M,Godehard,44669,9999-01-01
13769,Trogemann,F,Yakichi,61025,9999-01-01
13775,Maierhofer,M,Arve,70161,9999-01-01
13786,Berendt,F,Takushi,74494,9999-01-01
13787,Sinicrope,F,Xiaobin,40000,9999-01-01
13792,Sury,M,Valery,59127,9999-01-01
14088,Leslie,M,Mori,44821,9999-01-01
13796,Thorelli,M,Paloma,50962,9999-01-01
13809,Basagni,M,Kiyotoshi,43735,9999-01-01
13815,Plotkin,M,Guadalupe,40000,9999-01-01
14107,Rindone,M,Xiahua,82396,9999-01-01
13825,Pell,M,Arlette,54704,9999-01-01
14111,Cummings,F,Leszek,52696,9999-01-01
13841,Spinelli,M,Christophe,52277,9999-01-01
14118,Anido,M,Kasturi,46248,9999-01-01
13842,Cichocki,F,Juichirou,40000,9999-01-01
13846,Welham,M,Guiseppe,61097,9999-01-01
13853,Roohalamini,M,Mingsen,61615,9999-01-01
13859,Fujisawa,M,Anoosh,40000,9999-01-01
13884,Swift,M,Kensei,44785,9999-01-01
14167,Hertweck,F,Adas,40000,9999-01-01
14257,Massonet,F,Kwok,40000,9999-01-01
14290,Olivero,M,Miyeon,78736,9999-01-01
14191,Luby,F,Jiann,40155,9999-01-01
14292,Vigier,F,Susanna,41846,9999-01-01
14298,Granlund,F,Chriss,40000,9999-01-01
14209,Kusakabe,F,Masanao,40000,9999-01-01
14310,Leuchs,M,Marlo,40000,9999-01-01
14220,Pargas,F,Tomofumi,68017,9999-01-01
14320,Schaar,M,Sreenivas,40000,9999-01-01
14232,Bojadziev,M,Masali,50568,9999-01-01
14322,Kakkad,M,Shem,50363,9999-01-01
14236,Angiulli,F,Xuedong,40000,9999-01-01
14323,Leslie,F,Golgen,40000,9999-01-01
14237,Gerlach,F,Abdulla,57219,9999-01-01
14340,Wixon,M,Vitaly,42858,9999-01-01
14242,Benaini,F,Sudhanshu,40000,9999-01-01
14344,Buescher,F,Otilia,41979,9999-01-01
14354,Bojadziev,M,Mong,40000,9999-01-01
14360,Erbe,M,Janche,43476,9999-01-01
14372,Srimani,F,Saniya,57667,9999-01-01
14384,Holburn,F,Tomofumi,58260,9999-01-01
14422,Gadepally,M,Toshimo,59001,9999-01-01
14460,Lueh,F,Yagil,56267,9999-01-01
14434,Maginnis,M,Elvis,40000,9999-01-01
14478,Boissier,F,Munehiro,40000,9999-01-01
14439,Woycyznski,M,Raimond,80654,9999-01-01
14632,McClurg,M,Gudjon,40000,9999-01-01
14481,Lammel,M,Moti,40000,9999-01-01
14483,Marrevee,M,Supot,40000,9999-01-01
14486,Birdsall,M,Indrajit,40000,9999-01-01
14639,Hempstead,F,Arvind,79405,9999-01-01
14498,Selenyi,M,Xiong,40000,9999-01-01
14640,Kornatzky,M,Toshimori,42662,9999-01-01
14501,Kroft,M,Taizo,63646,9999-01-01
14642,Kuhnemann,F,Florian,54553,9999-01-01
14645,Glinert,F,Laurentiu,45647,9999-01-01
14509,Aloia,M,Danil,40000,9999-01-01
14648,Lorys,M,IEEE,89209,9999-01-01
14513,Barreiro,M,Samphel,83273,9999-01-01
14659,Adachi,F,Sashi,40926,9999-01-01
14515,Versino,F,Kazuhisa,61645,9999-01-01
14516,Underwood,F,Kristian,73262,9999-01-01
14518,Peir,M,Patricia,64238,9999-01-01
14675,Angel,F,Teunis,40000,9999-01-01
14522,Ranta,F,Chuanyi,40000,9999-01-01
14677,Sifakis,M,Herbert,40000,9999-01-01
14683,Basart,M,Alois,41107,9999-01-01
14537,Engelmann,F,Babette,48332,9999-01-01
14690,Bellone,F,Yechezkel,40000,9999-01-01
14693,Stranks,F,Brewster,59960,9999-01-01
14710,Hainaut,F,Mahmut,40341,9999-01-01
14552,Snyers,M,Ibibia,40000,9999-01-01
14723,Assaf,M,Constantino,40000,9999-01-01
14556,Zultner,M,Fatemeh,40000,9999-01-01
14560,Driscoll,M,Elrique,62770,9999-01-01
14724,Lemarechal,M,Aron,66530,9999-01-01
14780,Bruckman,F,Marlo,51232,9999-01-01
14581,Condotta,F,Gao,59499,9999-01-01
14582,Morrin,M,Kiyokazu,40000,9999-01-01
14785,Kaiser,M,Zhonghua,46936,9999-01-01
14600,Cairo,F,Jayson,41352,9999-01-01
14603,Marquardt,M,Lech,55369,9999-01-01
14793,Uchoa,M,Stein,47045,9999-01-01
14607,Selvestrel,M,Suzette,67813,9999-01-01
14814,Nishimukai,M,Odysseas,40000,9999-01-01
14620,Erev,F,Jianhua,53303,9999-01-01
14621,Wixon,F,Souichi,66404,9999-01-01
14817,Masaki,M,Gaurav,41203,9999-01-01
14821,Kilgore,M,Oguz,42545,9999-01-01
14839,Cronin,M,Changho,40000,9999-01-01
14853,Nergos,F,Taiji,58311,9999-01-01
14877,Meriste,M,Arto,40000,9999-01-01
15005,Sadowsky,M,Kiam,50368,9999-01-01
15016,Gulik,F,Woody,40000,9999-01-01
15018,Prenel,F,Ramalingam,40668,9999-01-01
14879,Sigstam,M,Anyuan,54322,9999-01-01
15019,Shokrollahi,F,Qingxiang,41721,9999-01-01
14888,Barriga,F,Temple,60916,9999-01-01
14899,Casley,M,Alejandro,64365,9999-01-01
15029,Koshino,M,Giordano,40000,9999-01-01
15030,Nourani,M,Rasikan,40000,9999-01-01
14906,Parveen,F,Adil,54758,9999-01-01
15036,Delgrande,M,Ziva,40000,9999-01-01
14908,Flanders,F,Kerhong,40000,9999-01-01
14909,Kamble,M,Mohan,40000,9999-01-01
14911,Chelton,F,Xiaobin,62738,9999-01-01
14914,Benzaken,F,Gretta,40000,9999-01-01
15049,Waymire,F,Khun,40000,9999-01-01
15052,Kranzdorf,M,Flemming,40630,9999-01-01
14915,Picco,M,Huican,40733,9999-01-01
15055,Sherertz,M,Shrikanth,40000,9999-01-01
14923,Gyorkos,M,Shuzo,40000,9999-01-01
14928,Mukaidono,F,Satoru,53377,9999-01-01
15066,Oaver,M,Tomokazu,43455,9999-01-01
14941,Lichtner,M,Nathan,43608,9999-01-01
15069,Siksek,M,Manton,40000,9999-01-01
15071,Couchot,F,Ayonca,97484,9999-01-01
15075,Rijsenbrij,M,Radoslaw,40000,9999-01-01
15077,Taubenfeld,F,Toshiki,40000,9999-01-01
15082,Zirintsis,F,Guadalupe,63024,9999-01-01
